iter	Passed	Remaining
0	2	290
1	4	204
2	6	211
3	7	188
4	9	174
5	10	166
6	12	159
7	13	154
8	15	154
9	18	166
10	20	161
11	24	176
12	24	165
13	25	156
14	26	148
15	26	141
16	27	135
17	28	130
18	29	126
19	32	130
20	34	131
21	40	142
22	41	137
23	42	135
24	43	130
25	44	126
26	46	124
27	48	125
28	50	123
29	51	120
30	52	117
31	54	115
32	55	112
33	56	109
34	57	106
35	58	103
36	59	100
37	60	97
38	63	99
39	64	96
40	65	94
41	65	90
42	66	88
43	67	86
44	69	84
45	71	84
46	73	83
47	74	81
48	75	79
49	76	76
50	77	74
51	78	72
52	79	70
53	80	68
54	81	66
55	82	64
56	83	62
57	86	62
58	87	60
59	94	62
60	94	60
61	95	58
62	96	56
63	96	54
64	97	52
65	98	50
66	99	48
67	101	47
68	103	46
69	104	44
70	104	42
71	106	41
72	107	39
73	107	37
74	108	36
75	110	34
76	110	33
77	111	31
78	112	29
79	114	28
80	115	26
81	116	25
82	126	25
83	127	24
84	128	22
85	129	21
86	130	19
87	133	18
88	134	16
89	138	15
90	139	13
91	140	12
92	141	10
93	142	9
94	144	7
95	146	6
96	147	4
97	147	3
98	155	1
99	160	0
