iter	Passed	Remaining
0	166	166579
1	173	86468
2	178	59419
3	187	46801
4	191	38043
5	192	31880
6	193	27454
7	194	24177
8	196	21625
9	197	19537
10	198	17813
11	198	16381
12	199	15171
13	201	14201
14	203	13352
15	205	12627
16	206	11952
17	207	11319
18	208	10750
19	208	10238
20	209	9777
21	210	9357
22	211	8974
23	212	8624
24	213	8314
25	213	8016
26	214	7740
27	215	7485
28	216	7251
29	217	7047
30	219	6846
31	220	6661
32	221	6492
33	222	6326
34	223	6163
35	224	6007
36	225	5859
37	225	5721
38	226	5590
39	228	5485
40	229	5378
41	230	5266
42	232	5168
43	233	5066
44	234	4968
45	235	4880
46	236	4788
47	236	4697
48	237	4614
49	238	4531
50	239	4452
51	240	4377
52	240	4302
53	241	4234
54	243	4175
55	243	4113
56	244	4050
57	245	3994
58	246	3932
59	247	3873
60	247	3815
61	248	3760
62	250	3721
63	251	3675
64	252	3626
65	252	3579
66	253	3532
67	254	3485
68	254	3440
69	255	3398
70	257	3363
71	257	3321
72	258	3280
73	258	3240
74	259	3202
75	260	3164
76	260	3127
77	261	3091
78	262	3057
79	263	3024
80	264	2999
81	265	2972
82	265	2937
83	266	2908
84	267	2880
85	268	2852
86	269	2823
87	269	2797
88	271	2780
89	272	2757
90	273	2732
91	274	2707
92	274	2681
93	275	2656
94	276	2631
95	276	2607
96	277	2585
97	278	2563
98	279	2540
99	279	2517
100	280	2496
101	281	2475
102	281	2454
103	282	2433
104	283	2413
105	283	2393
106	284	2373
107	285	2354
108	287	2352
109	288	2334
110	289	2315
111	289	2297
112	290	2279
113	291	2262
114	291	2244
115	292	2228
116	292	2211
117	293	2196
118	294	2180
119	295	2164
120	295	2148
121	296	2132
122	296	2117
123	297	2103
124	298	2088
125	299	2074
126	299	2061
127	300	2048
128	301	2034
129	301	2020
130	302	2006
131	303	1993
132	303	1980
133	304	1966
134	304	1954
135	305	1941
136	306	1929
137	307	1919
138	308	1910
139	309	1899
140	309	1887
141	310	1874
142	310	1862
143	311	1851
144	312	1839
145	312	1829
146	313	1818
147	313	1807
148	314	1797
149	315	1789
150	316	1780
151	317	1770
152	318	1761
153	319	1753
154	319	1743
155	320	1733
156	321	1723
157	322	1719
158	324	1715
159	325	1707
160	326	1699
161	327	1692
162	328	1686
163	329	1679
164	330	1671
165	331	1663
166	331	1654
167	332	1646
168	333	1637
169	333	1629
170	334	1621
171	335	1612
172	335	1604
173	337	1600
174	338	1594
175	338	1586
176	339	1578
177	340	1570
178	340	1562
179	341	1555
180	342	1547
181	342	1540
182	343	1533
183	344	1527
184	345	1520
185	345	1512
186	346	1505
187	346	1498
188	347	1491
189	348	1484
190	348	1477
191	349	1470
192	349	1463
193	350	1457
194	351	1452
195	352	1446
196	353	1439
197	353	1433
198	354	1426
199	354	1419
200	355	1413
201	356	1407
202	356	1401
203	357	1394
204	358	1389
205	359	1384
206	360	1379
207	360	1373
208	361	1367
209	361	1361
210	362	1355
211	363	1350
212	364	1346
213	364	1340
214	365	1335
215	366	1331
216	367	1327
217	368	1322
218	369	1317
219	370	1312
220	370	1307
221	371	1301
222	372	1296
223	372	1291
224	373	1286
225	374	1282
226	375	1277
227	376	1275
228	377	1270
229	377	1265
230	378	1260
231	379	1255
232	379	1250
233	380	1246
234	382	1243
235	382	1239
236	383	1234
237	384	1229
238	384	1225
239	385	1220
240	386	1215
241	386	1211
242	387	1207
243	388	1205
244	389	1201
245	390	1197
246	391	1193
247	392	1188
248	392	1184
249	393	1180
250	394	1176
251	396	1176
252	396	1172
253	397	1167
254	398	1163
255	398	1159
256	399	1155
257	400	1151
258	401	1148
259	402	1144
260	402	1140
261	403	1136
262	404	1132
263	404	1128
264	405	1124
265	406	1120
266	406	1117
267	407	1113
268	409	1111
269	410	1109
270	411	1106
271	411	1102
272	413	1100
273	414	1097
274	414	1093
275	415	1089
276	416	1086
277	416	1082
278	417	1078
279	418	1075
280	418	1072
281	419	1069
282	420	1065
283	421	1062
284	422	1059
